,w1,w2,b,topic
0,meth,mess,1,1
1,meth,hiv,2,3
2,meth,good,3,1
3,meth,yourself,4,3
4,mess,hiv,5,1
5,mess,good,6,3
6,mess,yourself,7,1
7,hiv,good,8,3
8,hiv,yourself,9,3
9,good,yourself,10,3
10,strain,drug,11,2
11,strain,resistant,12,3
12,strain,worth,13,2
13,strain,protecting,14,2
14,drug,resistant,15,1
15,drug,worth,16,1
16,drug,protecting,17,3
17,resistant,worth,18,2
18,resistant,protecting,19,1
19,worth,protecting,20,1
20,poz,n,21,3
21,poz,partying,22,2
22,poz,good,23,3
23,poz,combo,24,2
24,n,partying,25,1
25,n,good,26,1
26,n,combo,27,1
27,partying,good,28,1
28,partying,combo,29,1
29,good,combo,30,2
31,poz,using,31,1
33,poz,cocktail,32,2
34,poz,deserve,33,3
35,poz,healthy,34,3
36,n,using,35,3
38,n,cocktail,36,3
39,n,deserve,37,2
40,n,healthy,38,1
41,using,good,39,3
42,using,cocktail,40,1
43,using,deserve,41,3
44,using,healthy,42,2
45,good,cocktail,43,1
46,good,deserve,44,3
47,good,healthy,45,2
48,cocktail,deserve,46,2
49,cocktail,healthy,47,2
50,deserve,healthy,48,3
51,tina,friend,49,3
52,tina,make,50,3
53,tina,forget,51,2
54,tina,med,52,2
55,friend,make,53,1
56,friend,forget,54,3
57,friend,med,55,1
58,make,forget,56,3
59,make,med,57,3
60,forget,med,58,3
61,dying,from,59,1
62,dying,hiv,60,3
63,dying,living,61,2
64,from,hiv,62,3
65,from,living,63,1
66,hiv,living,64,2
67,pnp,clear,65,1
68,pnp,hiv,66,2
69,pnp,boundary,67,2
70,clear,hiv,68,3
71,clear,boundary,69,2
72,hiv,boundary,70,3
73,condom,set,71,1
74,condom,free,72,2
75,set,free,73,3
76,using,lose,74,3
77,using,yourself,75,3
78,using,forget,76,2
79,using,status,77,1
80,lose,yourself,78,3
81,lose,forget,79,2
82,lose,status,80,3
83,yourself,forget,81,1
84,yourself,status,82,2
85,forget,status,83,1
86,partying,take,84,2
87,partying,care,85,2
88,partying,yourself,86,1
89,partying,sex,87,3
90,partying,partner,88,1
91,take,care,89,2
92,take,yourself,90,3
93,take,sex,91,3
94,take,partner,92,2
95,care,yourself,93,2
96,care,sex,94,3
97,care,partner,95,3
98,yourself,sex,96,2
99,yourself,partner,97,2
100,sex,partner,98,1
101,let,anyone,99,1
102,let,tell,100,1
103,let,meth,101,1
104,let,limit,102,3
105,anyone,tell,103,1
106,anyone,meth,104,1
107,anyone,limit,105,1
108,tell,meth,106,3
109,tell,limit,107,3
110,meth,limit,108,1
111,spread,truth,109,2
112,spread,disease,110,3
113,truth,disease,111,1
114,feeling,high,112,2
115,feeling,stuck,113,3
116,feeling,take,114,1
117,feeling,break,115,1
118,feeling,reevaluate,116,2
119,high,stuck,117,1
